user_id,product_id,event,timestamp
1,101,view,2025-12-01
1,102,purchase,2025-12-02
2,101,click,2025-12-01
2,103,view,2025-12-03
3,104,purchase,2025-12-04
3,102,click,2025-12-05
1,103,click,2025-12-06
1,104,view,2025-12-07
2,102,purchase,2025-12-08
2,105,view,2025-12-09
3,101,view,2025-12-09
3,105,click,2025-12-10
4,101,purchase,2025-12-02
4,102,click,2025-12-03
4,106,view,2025-12-04
4,107,view,2025-12-06
5,103,purchase,2025-12-03
5,104,click,2025-12-05
5,108,view,2025-12-07
5,101,view,2025-12-08
6,105,purchase,2025-12-04
6,106,click,2025-12-05
6,101,view,2025-12-06
6,109,view,2025-12-11
7,102,view,2025-12-05
7,107,purchase,2025-12-06
7,108,click,2025-12-08
7,103,view,2025-12-12
8,104,view,2025-12-06
8,109,purchase,2025-12-07
8,110,click,2025-12-09
8,102,view,2025-12-13
9,101,click,2025-12-07
9,106,view,2025-12-09
9,110,purchase,2025-12-10
9,105,view,2025-12-14
10,103,click,2025-12-08
10,107,view,2025-12-10
10,108,purchase,2025-12-11
10,104,view,2025-12-15
11,102,purchase,2025-12-09
11,105,view,2025-12-11
11,109,click,2025-12-12
11,101,view,2025-12-16
12,106,purchase,2025-12-10
12,110,view,2025-12-12
12,107,click,2025-12-13
12,103,view,2025-12-17
13,101,purchase,2025-12-11
13,104,click,2025-12-13
13,102,view,2025-12-14
14,108,view,2025-12-12
14,109,click,2025-12-14
14,110,purchase,2025-12-15
15,105,click,2025-12-13
15,101,view,2025-12-15
15,106,purchase,2025-12-16
15,102,view,2025-12-18
